,CNAME_E,COMM_NUM,SHAPE_AREA,SHAPE_LEN,lat,lon,Hospital,Sector,Pop2017,Pop2018,Pop2019,Pop2019density,PopGrowth19by18,PopGrowthbinned,PopDensitybinned,Counter,HF_per_Pop,HF_per_k_Pop
93,MUGATRAH,981,139912555.95,49720.1863631,24.797000892740137,55.21366792810152,0,Sector 9,804.0,804.0,804.0,5.746446375315468,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
94,ENKHALI,724,44497971.6994,26462.9437086,25.112201855652014,55.56833177702232,0,Sector 7,24.0,26.0,26.0,0.584296295023051,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
95,AL THANYAH  FOURTH,394,11078799.9249,15108.0888646,25.06303047717405,55.17395787530367,2,Sector 3,17260.0,23488.0,27728.0,2502.798153948093,18.0517711171662,2 < x <= 20,1000 < x <= 10k,1,7.212925562608193e-05,0.07212925562608194
96,NADD AL SHIBA THIRD,616,6320420.2495,9742.20627617,25.15437523524973,55.37566462903919,2,Sector 6,94.0,137.0,767.0,121.35269012541949,459.8540145985401, > 100,10 < x <1000,1,0.002607561929595828,2.607561929595828
97,JUMEIRA THIRD,352,3442745.18036,9482.04390321,25.182763965846906,55.22887077151125,14,Sector 3,11560.0,12493.0,13417.0,3897.180679110563,7.3961418394300695,2 < x <= 20,1000 < x <= 10k,1,0.0010434523365879108,1.043452336587911
98,UMM SUQEIM FIRST,356,2813891.33122,7381.07465803,25.165990160979447,55.2162509166806,14,Sector 3,10743.0,10867.0,11718.0,4164.339919594374,7.831048127358064,2 < x <= 20,1000 < x <= 10k,1,0.0011947431302270011,1.1947431302270013
99,AL HAMRIYA,313,827901.6608640002,3797.76473153,25.26041011168857,55.30372630220169,26,Sector 3,31957.0,33421.0,36738.0,44374.83548669312,9.92489751952366,2 < x <= 20,10k < x <= 50k,1,0.0007077140835102619,0.7077140835102619
100,AL YUFRAH 4,919,11784792.769,14299.1045949,24.96644174983876,55.38972997508228,0,Sector 9,3.0,3.0,3.0,0.2545653588318944,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
101,AL JAFILIYA,323,1669479.4215,5220.96603607,25.237634589195828,55.286851176339894,32,Sector 3,21072.0,21957.0,23963.0,14353.57614559252,9.136038620940925,2 < x <= 20,10k < x <= 50k,1,0.001335392062763427,1.335392062763427
102,AL WARQA'A SECOND,422,3563435.0165,7438.39297234,25.20285815125784,55.40894495970106,4,Sector 4,9760.0,10237.0,10689.0,2999.6337664377334,4.4153560613460865,2 < x <= 20,1000 < x <= 10k,1,0.0003742164842361306,0.3742164842361306
103,AL QUSAIS IND. SECOND,243,1728332.8155,6052.3652815,25.281653928751663,55.39318418144651,7,Sector 2,7875.0,8063.0,8834.0,5111.284077218865,9.562197693166308,2 < x <= 20,1000 < x <= 10k,1,0.000792393026941363,0.7923930269413629
104,HEFAIR,991,143566502.005,51721.2111825,24.69323690908779,55.24913951876538,0,Sector 9,0.0,0.0,0.0,0.0,0.0,-2 < x <=2, x = 0,1,,
105,WADI AL SAFA 5,648,16319666.8572,22350.6627618,25.077813653036753,55.35215431815531,0,Sector 6,15903.0,19550.0,21241.0,1301.55843166791,8.64961636828645,2 < x <= 20,1000 < x <= 10k,1,0.0,0.0
106,AL QOUZ FOURTH,359,2238882.568,5987.09223021,25.15148111657184,55.254207927714965,7,Sector 3,17251.0,21788.0,22718.0,10147.026165956551,4.268404626399858,2 < x <= 20,10k < x <= 50k,1,0.0003081257152918391,0.3081257152918391
107,AL MAHA,845,41733960.0894,34853.4645531,24.918946892346515,55.65920944721685,0,Sector 8,168.0,175.0,193.0,4.624531187228984,10.285714285714276,2 < x <= 20,0< x <= 10 ,1,0.0,0.0
108,AL MURAQQABAT,124,1505474.7765,4867.41504145,25.265541274593378,55.32315234162383,23,Sector 1,68058.0,68717.0,69771.0,46344.84820941801,1.533827146121047,-2 < x <=2,10k < x <= 50k,1,0.00032964985452408593,0.32964985452408596
109,MENA JABAL ALI,594,34842363.7324,53063.0341411,24.98643576584331,55.06295248642717,1,Sector 5,28600.0,28600.0,24487.0,702.7938801186867,-14.381118881118882,-20< x <= -2 ,10 < x <1000,1,4.083799567117246e-05,0.04083799567117246
110,SAIH SHUAIB 2,531,22279220.8746,19362.1472713,24.869946601727573,55.05891053676095,0,Sector 5,13420.0,13665.0,14491.0,650.4266949712247,6.044639590193922,2 < x <= 20,10 < x <1000,1,0.0,0.0
111,SAIH AL SALAM,951,88690423.3337,42842.7132905,24.87304335470945,55.3786120990227,0,Sector 9,589.0,589.0,607.0,6.844030924467988,3.056027164685915,2 < x <= 20,0< x <= 10 ,1,0.0,0.0
